標題,鏈結
 【宿服組公告】115學年度宿自會樓長徵選報名開始（FOR Domestic Student ONLY）,/admin/st/index.php/tw/news-tw/6696-shss202604271300
 【宿服組公告】 第30屆宿舍自治會正副會長選舉,/admin/st/index.php/tw/news-tw/6694-shss202604271235
" Company Visit: Taiwan Asahi Diamond Industrial Co., Ltd.(This session is exclusively designed for international students.)",/alumni/index.php/tw/news-tw/1325-20260424
 【宿服組公告】宿舍流浪犬出沒提醒,/admin/st/index.php/tw/news-tw/6684-shss202604241400-2
 【宿服組公告】115學年度學生宿舍自組室友作業辦法,/admin/st/index.php/tw/news-tw/6683-shss202604241400
 【公告】114學年度暑期課程預估開課，學生上網登記時間及方式,/admin/aa/index.php/tw/news-tw/2203-114xue-nian-du-shu-qi-ke-cheng-yu-gu-kai-ke-xue-sheng-shang-wang-deng-ji-shi-jian-ji-fang-shi
 【宿服組公告】115學年度學生宿舍│第一次候補 – 20260424備取錄取公告,/admin/st/index.php/tw/news-tw/6680-shss202604241045
 【免費課程資訊】1150511國立陽明交通大學與臺灣學術倫理教育資源中心共同舉辦學術倫理專題演講(實體及線上同步),/admin/rd/index.php/tw/news-tw/8567-mian-fei-ke-cheng-zi-xun-1150511guo-li-yang-ming-jiao-tong-da-xue-yu-tai-wan-xue-shu-lun-li-jiao-yu-zi-yuan-zhong-xin-gong-tong-ju-ban-xue-shu-lun-li-zhuan-ti-yan-jiang-shi-ti-ji-xian-shang-tong-bu
 內壢火車站接駁車調整訊息公告(4/22起) Notice of Adjustment to Neili Train Station Shuttle Service (effective April 22),/admin/ga/index.php/tw/news-tw/342-nei-li-huo-che-zhan-jie-bo-che-diao-zheng-xun-xi-gong-gao-4-22qi-notice-of-adjustment-to-neili-train-station-shuttle-service-effective-april-22
 元智大學 公開徵求資訊工程學系主任候選人啟事,/admin/ho/index.php/tw/news-tw/1043-yuan-zhi-da-xue-gong-kai-zheng-qiu-zi-xun-gong-cheng-xue-xi-zhu-ren-hou-xuan-ren-qi-shi
 【公告】國際校友系列講座 VI & VII｜英文場,/alumni/index.php/tw/news-tw/1309-20260410
 【教務處法規公告】元智大學學生考試規則條文修訂,/admin/aa/index.php/tw/news-tw/2176-jiao-wu-chu-fa-gui-gong-gao-yuan-zhi-da-xue-xue-sheng-kao-shi-gui-ze-tiao-wen-xiu-ding
 【公告Announcement】1142期中考試資訊&衝堂考登記公告,/admin/aa/index.php/tw/news-tw/2173-gong-gaoannouncement-1142qi-zhong-kao-shi-zi-xun-chong-tang-kao-deng-ji-gong-gao
 114學年度第二學期 雙語化學習計畫-學生獎勵金即日起開放申請!,/admin/aa/index.php/tw/news-tw/2170-202603241507-02
 105學年度起入學之碩士班（含碩士在職專班）與博士班學生，請於入學第一學期末前完成學術研究倫理教育線上課程。,/admin/aa/index.php/tw/news-tw/2135-105xue-nian-du-qi-ru-xue-zhi-shuo-shi-ban-han-shuo-shi-zai-zhi-zhuan-ban-yu-bo-shi-ban-xue-sheng-qing-yu-ru-xue-di-yi-xue-qi-mo-qian-wan-cheng-xue-shu-yan-jiu-lun-li-jiao-yu-xian-shang-ke-cheng-3
 《會計報帳作業流程》相關問卷調查，邀請您撥冗協助填寫。,/admin/bo/index.php/tw/news-tw/176-hui-ji-bao-zhang-zuo-ye-liu-cheng-xiang-guan-wen-juan-diao-cha-yao-qing-nin-bo-rong-xie-zhu-tian-xie
 【公告】懇請2020年、2022年級2024年畢業之畢業校友協助填寫畢業生流向追蹤問卷(統計到113.10.20止) ！,/admin/pr/index.php/tw/news-tw/8780-20250917
 【重要通知】自115年1月起，元智大學將停用校友的M365服務（僅保留Email服務）並強制清除校友的雲端檔案,/admin/is/index.php/tw/news-tw/692-20250805
 【轉知】教育部本部依紀念日及節日實施條例規定，核定每年4月20日為「性別平等教育日」，請查照。,/admin/so/index.php/tw/news-tw/982-zhuan-zhi-jiao-yu-bu-ben-bu-yi-ji-nian-ri-ji-jie-ri-shi-shi-tiao-li-gui-ding-he-ding-mei-nian4yue20ri-wei-xing-bie-ping-deng-jiao-yu-ri-qing-cha-zhao
